"Date","Price","Open","High","Low","Vol.","Change %"
"07/02/2026","162.00","159.73","162.16","155.88","61.26M","2.83%"
"07/01/2026","157.54","171.57","171.74","155.00","109.32M","-7.80%"
"06/30/2026","170.86","163.38","172.40","161.64","82.05M","4.06%"
"06/29/2026","164.19","157.35","166.17","151.74","81.44M","7.15%"
"06/26/2026","153.23","150.62","158.40","148.51","126.93M","0.15%"
"06/25/2026","153.00","156.63","160.65","150.00","62.21M","-1.00%"
"06/24/2026","154.54","154.20","159.86","150.72","76.10M","-1.01%"
"06/23/2026","156.11","151.06","165.50","147.11","155.85M","0.98%"
"06/22/2026","154.60","176.04","176.75","154.00","169.18M","-16.43%"
"06/18/2026","185.00","188.39","190.00","172.11","272.13M","-3.56%"
"06/17/2026","191.82","209.84","213.80","187.01","201.72M","-4.95%"
"06/16/2026","201.80","200.51","225.64","195.13","322.15M","4.83%"
"06/15/2026","192.50","171.74","193.00","168.35","256.23M","19.60%"
"06/12/2026","160.95","150.00","176.52","149.34","522.13M","19.22%"
