date,CHS2YT,CH10YT
2015-01-01,-0.685,-0.026
2015-02-01,-0.891,0.026
2015-03-01,-0.805,-0.042
2015-04-01,-0.812,0.017
2015-05-01,-0.898,-0.064
2015-06-01,-0.958,0.104
2015-07-01,-0.84,-0.036
2015-08-01,-0.731,-0.135
2015-09-01,-0.836,-0.122
2015-10-01,-0.869,-0.272
2015-11-01,-1.113,-0.389
2015-12-01,-0.841,-0.075
2016-01-01,-0.938,-0.278
2016-02-01,-1.096,-0.444
2016-03-01,-0.864,-0.334
2016-04-01,-0.829,-0.25
2016-05-01,-0.825,-0.311
2016-06-01,-1.077,-0.566
2016-07-01,-0.917,-0.577
2016-08-01,-0.848,-0.481
2016-09-01,-1.034,-0.571
2016-10-01,-0.894,-0.396
2016-11-01,-0.95,-0.175
2016-12-01,-1.004,-0.206
2017-01-01,-0.896,-0.067
2017-02-01,-0.974,-0.24
2017-03-01,-0.887,-0.107
2017-04-01,-0.874,-0.123
2017-05-01,-0.912,-0.171
2017-06-01,-0.783,-0.027
2017-07-01,-0.772,0.036
2017-08-01,-0.839,-0.141
2017-09-01,-0.818,-0.011
2017-10-01,-0.851,-0.072
2017-11-01,-0.882,-0.114
2017-12-01,-0.739,-0.069
2018-01-01,-0.839,0.095
2018-02-01,-0.888,0.079
2018-03-01,-0.924,0.024
2018-04-01,-0.735,0.09
2018-05-01,-0.817,-0.073
2018-06-01,-0.753,-0.068
2018-07-01,-0.721,-0.005
2018-08-01,-0.741,-0.098
2018-09-01,-0.712,0.041
2018-10-01,-0.724,-0.011
2018-11-01,-0.699,-0.095
2018-12-01,-0.79,-0.168
2019-01-01,-0.763,-0.233
2019-02-01,-0.744,-0.242
2019-03-01,-0.784,-0.373
2019-04-01,-0.758,-0.303
2019-05-01,-0.794,-0.468
2019-06-01,-0.888,-0.535
2019-07-01,-0.981,-0.747
2019-08-01,-1.099,-1.008
2019-09-01,-0.891,-0.753
2019-10-01,-0.77,-0.563
2019-11-01,-0.781,-0.612
2019-12-01,-0.729,-0.472
2020-01-01,-0.741,-0.748
2020-02-01,-0.819,-0.871
2020-03-01,-0.579,-0.35
2020-04-01,-0.649,-0.535
2020-05-01,-0.678,-0.464
2020-06-01,-0.657,-0.431
2020-07-01,-0.788,-0.542
2020-08-01,-0.8,-0.411
2020-09-01,-0.792,-0.488
2020-10-01,-0.752,-0.543
2020-11-01,-0.738,-0.452
2020-12-01,-0.779,-0.486
2021-01-01,-0.782,-0.443
2021-02-01,-0.68,-0.197
2021-03-01,-0.78,-0.283
2021-04-01,-0.737,-0.196
2021-05-01,-0.739,-0.156
2021-06-01,-0.751,-0.239
2021-07-01,-0.76,-0.374
2021-08-01,-0.734,-0.335
2021-09-01,-0.76,-0.17
2021-10-01,-0.668,-0.006
2021-11-01,-0.758,-0.237
2021-12-01,-0.698,-0.135
2022-01-01,-0.707,0.064
2022-02-01,-0.409,0.263
2022-03-01,-0.111,0.593
2022-04-01,0.085,0.835
2022-05-01,0.068,0.907
2022-06-01,0.051,1.026
2022-07-01,-0.022,0.459
2022-08-01,0.608,0.855
2022-09-01,0.752,1.237
2022-10-01,0.579,1.183
2022-11-01,0.891,1.118
2022-12-01,1.284,1.623
2023-01-01,1.025,1.263
2023-02-01,1.241,1.45
2023-03-01,1.206,1.225
2023-04-01,1.149,1.092
2023-05-01,1.151,0.952
2023-06-01,1.217,0.965
2023-07-01,1.175,1.005
2023-08-01,1.107,0.933
2023-09-01,1.246,1.093
2023-10-01,1.304,1.132
2023-11-01,1.3,0.878
2023-12-01,1.101,0.701
2024-01-01,1.074,0.855
2024-02-01,1.119,0.813
2024-03-01,0.958,0.711
2024-04-01,0.996,0.751
2024-05-01,1.112,0.892
2024-06-01,0.804,0.542
2024-07-01,0.643,0.451
2024-08-01,0.547,0.468
2024-09-01,0.394,0.363
2024-10-01,0.359,0.389
2024-11-01,0.126,0.209
2024-12-01,0.004,0.251
2025-01-01,0.1,0.362
2025-02-01,0.152,0.427
2025-03-01,0.116,0.531
2025-04-01,-0.059,0.308
2025-05-01,-0.215,0.319
2025-06-01,-0.089,0.422
2025-07-01,-0.117,0.342
2025-08-01,-0.089,0.339
2025-09-01,-0.105,0.257
2025-10-01,-0.148,0.187
2025-11-01,-0.125,0.182
2025-12-01,-0.036,0.319
2026-01-01,-0.132,0.209
2026-02-01,-0.15,0.2
2026-03-01,0.079,0.355
2026-04-01,0.141,0.391
2026-05-01,0.07,0.388
