date,MSCI World
2015-01-01,"1,677.54"
2015-02-01,"1,772.86"
2015-03-01,"1,740.81"
2015-04-01,"1,778.40"
2015-05-01,"1,779.31"
2015-06-01,"1,735.61"
2015-07-01,"1,765.60"
2015-08-01,"1,645.43"
2015-09-01,"1,581.92"
2015-10-01,"1,705.80"
2015-11-01,"1,694.40"
2015-12-01,"1,662.79"
2016-01-01,"1,562.18"
2016-02-01,"1,547.17"
2016-03-01,"1,648.12"
2016-04-01,"1,670.80"
2016-05-01,"1,674.61"
2016-06-01,"1,653.23"
2016-07-01,"1,721.79"
2016-08-01,"1,719.52"
2016-09-01,"1,725.67"
2016-10-01,"1,690.92"
2016-11-01,"1,712.09"
2016-12-01,"1,751.22"
2017-01-01,"1,792.40"
2017-02-01,"1,838.70"
2017-03-01,"1,853.69"
2017-04-01,"1,878.28"
2017-05-01,"1,911.74"
2017-06-01,"1,916.43"
2017-07-01,"1,961.10"
2017-08-01,"1,959.74"
2017-09-01,"2,000.55"
2017-10-01,"2,036.80"
2017-11-01,"2,077.36"
2017-12-01,"2,103.45"
2018-01-01,"2,213.24"
2018-02-01,"2,117.99"
2018-03-01,"2,066.85"
2018-04-01,"2,086.51"
2018-05-01,"2,092.92"
2018-06-01,"2,089.30"
2018-07-01,"2,153.10"
2018-08-01,"2,175.50"
2018-09-01,"2,184.01"
2018-10-01,"2,021.98"
2018-11-01,"2,041.36"
2018-12-01,"1,883.90"
2019-01-01,"2,028.49"
2019-02-01,"2,085.84"
2019-03-01,"2,107.74"
2019-04-01,"2,178.67"
2019-05-01,"2,046.25"
2019-06-01,"2,178.35"
2019-07-01,"2,187.56"
2019-08-01,"2,138.52"
2019-09-01,"2,180.02"
2019-10-01,"2,233.53"
2019-11-01,"2,292.26"
2019-12-01,"2,358.47"
2020-01-01,"2,342.41"
2020-02-01,"2,141.12"
2020-03-01,"1,852.73"
2020-04-01,"2,052.85"
2020-05-01,"2,147.88"
2020-06-01,"2,201.79"
2020-07-01,"2,304.98"
2020-08-01,"2,455.51"
2020-09-01,"2,367.27"
2020-10-01,"2,292.93"
2020-11-01,"2,583.14"
2020-12-01,"2,690.04"
2021-01-01,"2,661.69"
2021-02-01,"2,726.91"
2021-03-01,"2,811.70"
2021-04-01,"2,938.76"
2021-05-01,"2,975.70"
2021-06-01,"3,017.23"
2021-07-01,"3,069.25"
2021-08-01,"3,141.35"
2021-09-01,"3,006.60"
2021-10-01,"3,174.73"
2021-11-01,"3,101.80"
2021-12-01,"3,231.73"
2022-01-01,"3,059.05"
2022-02-01,"2,977.95"
2022-03-01,"3,053.07"
2022-04-01,"2,795.62"
2022-05-01,"2,791.01"
2022-06-01,"2,546.19"
2022-07-01,"2,746.36"
2022-08-01,"2,627.32"
2022-09-01,"2,378.65"
2022-10-01,"2,547.72"
2022-11-01,"2,720.89"
2022-12-01,"2,602.69"
2023-01-01,"2,785.00"
2023-02-01,"2,714.57"
2023-03-01,"2,791.44"
2023-04-01,"2,835.93"
2023-05-01,"2,800.56"
2023-06-01,"2,966.72"
2023-07-01,"3,064.30"
2023-08-01,"2,986.02"
2023-09-01,"2,853.24"
2023-10-01,"2,768.62"
2023-11-01,"3,023.63"
2023-12-01,"3,169.18"
2024-01-01,"3,205.32"
2024-02-01,"3,337.20"
2024-03-01,"3,437.76"
2024-04-01,"3,305.30"
2024-05-01,"3,445.17"
2024-06-01,"3,511.78"
2024-07-01,"3,571.57"
2024-08-01,"3,661.24"
2024-09-01,"3,723.03"
2024-10-01,"3,647.14"
2024-11-01,"3,810.14"
2024-12-01,"3,707.84"
2025-01-01,"3,836.58"
2025-02-01,"3,805.33"
2025-03-01,"3,628.64"
2025-04-01,"3,655.52"
2025-05-01,"3,863.48"
2025-06-01,"4,026.44"
2025-07-01,"4,076.04"
2025-08-01,"4,177.72"
2025-09-01,"4,306.70"
2025-10-01,"4,390.42"
2025-11-01,"4,398.44"
2025-12-01,"4,430.38"
2026-01-01,"4,527.59"
2026-02-01,"4,556.79"
2026-03-01,"4,258.31"
2026-04-01,"4,660.70"
2026-05-01,"4,864.59"
2026-06-01,"4,825.50"
