date,IL2YT,IL10YT
2015-01-01,0.183,1.668
2015-02-01,0.101,1.589
2015-03-01,0.092,1.515
2015-04-01,0.036,1.507
2015-05-01,0.098,1.745
2015-06-01,0.128,2.357
2015-07-01,0.36,2.314
2015-08-01,0.268,2.16
2015-09-01,0.255,2.203
2015-10-01,0.232,2.01
2015-11-01,0.355,2.138
2015-12-01,0.329,2.092
2016-01-01,0.226,1.897
2016-02-01,0.13,1.757
2016-03-01,0.187,1.85
2016-04-01,0.144,1.834
2016-05-01,0.16,1.826
2016-06-01,0.104,1.63
2016-07-01,0.118,1.602
2016-08-01,0.136,1.732
2016-09-01,0.128,1.732
2016-10-01,0.139,1.803
2016-11-01,0.38,2.176
2016-12-01,0.486,2.068
2017-01-01,0.337,2.377
2017-02-01,0.275,2.33
2017-03-01,0.259,2.169
2017-04-01,0.246,2.189
2017-05-01,0.168,2.062
2017-06-01,0.157,2.081
2017-07-01,0.096,1.814
2017-08-01,0.112,1.73
2017-09-01,0.101,1.762
2017-10-01,0.11,1.748
2017-11-01,0.131,1.769
2017-12-01,0.131,1.617
2018-01-01,0.201,1.726
2018-02-01,0.249,1.774
2018-03-01,0.234,1.645
2018-04-01,0.315,1.849
2018-05-01,0.299,1.803
2018-06-01,0.368,1.986
2018-07-01,0.351,2.234
2018-08-01,0.313,2.164
2018-09-01,0.305,2.217
2018-10-01,0.349,2.341
2018-11-01,0.433,2.356
2018-12-01,0.573,2.289
2019-01-01,0.376,2.081
2019-02-01,0.292,1.974
2019-03-01,0.308,1.831
2019-04-01,0.368,1.835
2019-05-01,0.373,1.71
2019-06-01,0.309,1.604
2019-07-01,0.285,1.208
2019-08-01,0.183,0.926
2019-09-01,0.256,0.904
2019-10-01,0.184,0.871
2019-11-01,0.174,0.817
2019-12-01,0.186,0.848
2020-01-01,0.181,0.895
2020-02-01,0.159,0.616
2020-03-01,0.38,1.12
2020-04-01,0.117,0.786
2020-05-01,0.056,0.753
2020-06-01,0.041,0.627
2020-07-01,0.025,0.64
2020-08-01,0.046,0.655
2020-09-01,0.042,0.71
2020-10-01,0.123,0.813
2020-11-01,0.148,0.799
2020-12-01,0.057,0.774
2021-01-01,0.054,0.829
2021-02-01,0.135,1.141
2021-03-01,0.106,1.097
2021-04-01,0.112,1.13
2021-05-01,0.105,1.174
2021-06-01,0.063,1.113
2021-07-01,0.095,1.016
2021-08-01,0.073,0.932
2021-09-01,0.115,1.19
2021-10-01,0.235,1.235
2021-11-01,0.03,0.876
2021-12-01,0.051,1.02
2022-01-01,0.235,1.414
2022-02-01,0.897,1.932
2022-03-01,1.378,2.176
2022-04-01,1.46,2.384
2022-05-01,1.763,2.608
2022-06-01,1.969,2.711
2022-07-01,1.988,2.44
2022-08-01,2.611,2.916
2022-09-01,3.059,3.391
2022-10-01,3.313,3.283
2022-11-01,3.423,3.324
2022-12-01,3.7,3.602
2023-01-01,3.603,3.322
2023-02-01,4.589,4.054
2023-03-01,4.047,3.78
2023-04-01,4.178,3.829
2023-05-01,4.432,3.791
2023-06-01,4.318,3.786
2023-07-01,4.22,3.812
2023-08-01,4.315,3.84
2023-09-01,4.607,4.241
2023-10-01,4.172,4.594
2023-11-01,3.887,4.215
2023-12-01,3.799,3.975
2024-01-01,3.825,4.161
2024-02-01,3.812,4.16
2024-03-01,4.01,4.33
2024-04-01,4.355,4.772
2024-05-01,4.522,5.024
2024-06-01,4.387,5.044
2024-07-01,4.259,4.932
2024-08-01,4.281,4.836
2024-09-01,4.34,4.873
2024-10-01,4.516,4.829
2024-11-01,4.318,4.525
2024-12-01,4.278,4.466
2025-01-01,4.202,4.425
2025-02-01,4.222,4.314
2025-03-01,4.203,4.503
2025-04-01,4.004,4.319
2025-05-01,4.245,4.454
2025-06-01,4.046,4.098
2025-07-01,4.13,4.304
2025-08-01,3.947,4.119
2025-09-01,3.964,4.1
2025-10-01,3.77,3.879
2025-11-01,3.803,3.914
2025-12-01,3.756,3.914
2026-01-01,3.598,3.843
2026-02-01,3.483,3.842
2026-03-01,3.829,4.12
2026-04-01,3.7,4.004
2026-05-01,3.457,3.74
2026-06-01,3.217,3.692
