date,US2YT,US10YT
2015-01-01,0.453,1.639
2015-01-02,0.622,1.997
2015-01-03,0.559,1.927
2015-01-04,0.575,2.035
2015-01-05,0.609,2.123
2015-01-06,0.645,2.349
2015-01-07,0.669,2.187
2015-01-08,0.739,2.214
2015-01-09,0.629,2.035
2015-01-10,0.728,2.146
2015-01-11,0.934,2.208
2015-01-12,1.052,2.269
2016-01-01,0.778,1.923
2016-01-02,0.785,1.738
2016-01-03,0.725,1.77
2016-01-04,0.782,1.835
2016-01-05,0.883,1.851
2016-01-06,0.586,1.475
2016-01-07,0.659,1.45
2016-01-08,0.809,1.578
2016-01-09,0.766,1.598
2016-01-10,0.845,1.826
2016-01-11,1.119,2.39
2016-01-12,1.198,2.446
2017-01-01,1.212,2.466
2017-01-02,1.264,2.397
2017-01-03,1.262,2.389
2017-01-04,1.27,2.289
2017-01-05,1.286,2.206
2017-01-06,1.386,2.304
2017-01-07,1.355,2.296
2017-01-08,1.329,2.121
2017-01-09,1.491,2.339
2017-01-10,1.6,2.378
2017-01-11,1.79,2.415
2017-01-12,1.887,2.405
2018-01-01,2.149,2.713
2018-01-02,2.258,2.864
2018-01-03,2.27,2.741
2018-01-04,2.492,2.955
2018-01-05,2.435,2.86
2018-01-06,2.532,2.86
2018-01-07,2.674,2.962
2018-01-08,2.629,2.86
2018-01-09,2.823,3.065
2018-01-10,2.871,3.149
2018-01-11,2.797,2.993
2018-01-12,2.496,2.686
2019-01-01,2.464,2.633
2019-01-02,2.518,2.717
2019-01-03,2.266,2.407
2019-01-04,2.266,2.504
2019-01-05,1.924,2.133
2019-01-06,1.757,2.007
2019-01-07,1.868,2.007
2019-01-08,1.51,1.499
2019-01-09,1.626,1.668
2019-01-10,1.526,1.688
2019-01-11,1.612,1.774
2019-01-12,1.571,1.919
2020-01-01,1.319,1.505
2020-01-02,0.931,1.163
2020-01-03,0.253,0.668
2020-01-04,0.201,0.646
2020-01-05,0.164,0.653
2020-01-06,0.154,0.658
2020-01-07,0.109,0.533
2020-01-08,0.133,0.706
2020-01-09,0.131,0.686
2020-01-10,0.156,0.874
2020-01-11,0.15,0.842
2020-01-12,0.123,0.916
2021-01-01,0.111,1.071
2021-01-02,0.129,1.407
2021-01-03,0.162,1.744
2021-01-04,0.162,1.626
2021-01-05,0.141,1.581
2021-01-06,0.252,1.468
2021-01-07,0.188,1.226
2021-01-08,0.211,1.307
2021-01-09,0.281,1.492
2021-01-10,0.501,1.561
2021-01-11,0.567,1.456
2021-01-12,0.734,1.512
2022-01-01,1.185,1.784
2022-01-02,1.436,1.822
2022-01-03,2.335,2.345
2022-01-04,2.731,2.938
2022-01-05,2.563,2.849
2022-01-06,2.955,3.017
2022-01-07,2.891,2.658
2022-01-08,3.495,3.196
2022-01-09,4.273,3.829
2022-01-10,4.486,4.05
2022-01-11,4.329,3.611
2022-01-12,4.428,3.879
2023-01-01,4.205,3.51
2023-01-02,4.818,3.928
2023-01-03,4.038,3.473
2023-01-04,4.021,3.433
2023-01-05,4.409,3.646
2023-01-06,4.904,3.841
2023-01-07,4.885,3.967
2023-01-08,4.863,4.106
2023-01-09,5.052,4.579
2023-01-10,5.083,4.926
2023-01-11,4.695,4.33
2023-01-12,4.25,3.866
2024-01-01,4.209,3.918
2024-01-02,4.623,4.254
2024-01-03,4.628,4.206
2024-01-04,5.037,4.682
2024-01-05,4.877,4.503
2024-01-06,4.749,4.392
2024-01-07,4.26,4.033
2024-01-08,3.919,3.909
2024-01-09,3.644,3.786
2024-01-10,4.168,4.281
2024-01-11,4.16,4.177
2024-01-12,4.236,4.572
2025-01-01,4.205,4.542
2025-01-02,3.985,4.202
2025-01-03,3.886,4.21
2025-01-04,3.621,4.175
2025-01-05,3.914,4.418
2025-01-06,3.721,4.226
2025-01-07,3.951,4.36
2025-01-08,3.623,4.226
2025-01-09,3.604,4.15
2025-01-10,3.606,4.101
2025-01-11,3.491,4.019
2025-01-12,3.469,4.153
2026-01-01,3.527,4.241
2026-01-02,3.379,3.962
2026-01-03,3.799,4.311
2026-01-04,3.885,4.39
2026-01-05,4.014,4.453
