date,DE2YT,DE10YT
2015-01-01,-0.184,0.313
2015-02-01,-0.22,0.324
2015-03-01,-0.247,0.185
2015-04-01,-0.224,0.364
2015-05-01,-0.22,0.486
2015-06-01,-0.222,0.77
2015-07-01,-0.227,0.648
2015-08-01,-0.194,0.795
2015-09-01,-0.247,0.59
2015-10-01,-0.312,0.523
2015-11-01,-0.414,0.4755
2015-12-01,-0.34,0.6346
2016-01-01,-0.484,0.334
2016-02-01,-0.57,0.108
2016-03-01,-0.485,0.156
2016-04-01,-0.476,0.282
2016-05-01,-0.509,0.147
2016-06-01,-0.649,-0.1266
2016-07-01,-0.626,-0.12
2016-08-01,-0.618,-0.065
2016-09-01,-0.688,-0.12
2016-10-01,-0.618,0.163
2016-11-01,-0.728,0.274
2016-12-01,-0.782,0.208
2017-01-01,-0.698,0.437
2017-02-01,-0.896,0.208
2017-03-01,-0.74,0.331
2017-04-01,-0.729,0.324
2017-05-01,-0.716,0.311
2017-06-01,-0.573,0.465
2017-07-01,-0.68,0.533
2017-08-01,-0.733,0.359
2017-09-01,-0.681,0.464
2017-10-01,-0.75,0.364
2017-11-01,-0.684,0.367
2017-12-01,-0.632,0.427
2018-01-01,-0.529,0.697
2018-02-01,-0.534,0.654
2018-03-01,-0.588,0.493
2018-04-01,-0.573,0.562
2018-05-01,-0.686,0.34
2018-06-01,-0.694,0.303
2018-07-01,-0.581,0.445
2018-08-01,-0.62,0.331
2018-09-01,-0.543,0.472
2018-10-01,-0.653,0.386
2018-11-01,-0.595,0.315
2018-12-01,-0.59,0.246
2019-01-01,-0.559,0.149
2019-02-01,-0.534,0.182
2019-03-01,-0.607,-0.071
2019-04-01,-0.594,0.013
2019-05-01,-0.66,-0.203
2019-06-01,-0.734,-0.328
2019-07-01,-0.783,-0.442
2019-08-01,-0.923,-0.703
2019-09-01,-0.752,-0.572
2019-10-01,-0.661,-0.403
2019-11-01,-0.629,-0.36
2019-12-01,-0.594,-0.187
2020-01-01,-0.668,-0.434
2020-02-01,-0.767,-0.608
2020-03-01,-0.678,-0.469
2020-04-01,-0.765,-0.589
2020-05-01,-0.646,-0.448
2020-06-01,-0.688,-0.453
2020-07-01,-0.715,-0.531
2020-08-01,-0.65,-0.398
2020-09-01,-0.698,-0.521
2020-10-01,-0.794,-0.625
2020-11-01,-0.741,-0.571
2020-12-01,-0.708,-0.575
2021-01-01,-0.727,-0.52
2021-02-01,-0.664,-0.257
2021-03-01,-0.695,-0.292
2021-04-01,-0.686,-0.2
2021-05-01,-0.663,-0.183
2021-06-01,-0.657,-0.203
2021-07-01,-0.757,-0.458
2021-08-01,-0.717,-0.38
2021-09-01,-0.689,-0.191
2021-10-01,-0.58,-0.094
2021-11-01,-0.748,-0.343
2021-12-01,-0.637,-0.179
2022-01-01,-0.534,0.014
2022-02-01,-0.507,0.159
2022-03-01,-0.07,0.547
2022-04-01,0.258,0.935
2022-05-01,0.508,1.127
2022-06-01,0.679,1.368
2022-07-01,0.273,0.825
2022-08-01,1.198,1.536
2022-09-01,1.778,2.109
2022-10-01,1.949,2.15
2022-11-01,2.139,1.944
2022-12-01,2.731,2.563
2023-01-01,2.649,2.28
2023-02-01,3.132,2.643
2023-03-01,2.695,2.301
2023-04-01,2.729,2.322
2023-05-01,2.739,2.272
2023-06-01,3.267,2.391
2023-07-01,3.206,2.465
2023-08-01,2.981,2.471
2023-09-01,3.206,2.838
2023-10-01,3.074,2.809
2023-11-01,2.814,2.449
2023-12-01,2.4,2.028
2024-01-01,2.407,2.161
2024-02-01,2.885,2.401
2024-03-01,2.823,2.293
2024-04-01,3.034,2.5895
2024-05-01,3.113,2.663
2024-06-01,2.825,2.485
2024-07-01,2.533,2.302
2024-08-01,2.384,2.29
2024-09-01,2.068,2.131
2024-10-01,2.315,2.3915
2024-11-01,1.946,2.087
2024-12-01,2.071,2.362
2025-01-01,2.111,2.459
2025-02-01,2.008,2.3865
2025-03-01,2.026,2.727
2025-04-01,1.697,2.441
2025-05-01,1.787,2.509
2025-06-01,1.857,2.597
2025-07-01,1.947,2.693
2025-08-01,1.944,2.7222
2025-09-01,2.021,2.712
2025-10-01,1.985,2.6369
2025-11-01,2.03,2.6913
2025-12-01,2.123,2.8623
2026-01-01,2.067,2.8446
2026-02-01,2.009,2.6527
2026-03-01,2.622,3.0076
2026-04-01,2.632,3.0297
2026-05-01,2.532,2.9328
2026-06-01,2.535,2.8645
