date,FR2YT,FR10YT
2015-01-01,-0.078,0.557
2015-01-02,-0.132,0.527
2015-01-03,-0.163,0.476
2015-01-04,-0.148,0.65
2015-01-05,-0.174,0.811
2015-01-06,-0.165,1.198
2015-01-07,-0.181,0.941
2015-01-08,-0.14,1.117
2015-01-09,-0.185,0.903
2015-01-10,-0.265,0.888
2015-01-11,-0.33,0.796
2015-01-12,-0.312,0.993
2016-01-01,-0.396,0.654
2016-01-02,-0.448,0.464
2016-01-03,-0.435,0.411
2016-01-04,-0.407,0.651
2016-01-05,-0.434,0.486
2016-01-06,-0.558,0.201
2016-01-07,-0.545,0.112
2016-01-08,-0.562,0.162
2016-01-09,-0.632,0.119
2016-01-10,-0.563,0.479
2016-01-11,-0.653,0.736
2016-01-12,-0.66,0.683
2017-01-01,-0.49,1.028
2017-01-02,-0.491,0.882
2017-01-03,-0.398,0.965
2017-01-04,-0.536,0.763
2017-01-05,-0.571,0.715
2017-01-06,-0.483,0.82
2017-01-07,-0.526,0.806
2017-01-08,-0.589,0.668
2017-01-09,-0.581,0.747
2017-01-10,-0.572,0.759
2017-01-11,-0.552,0.684
2017-01-12,-0.436,0.784
2018-01-01,-0.361,0.978
2018-01-02,-0.43,0.932
2018-01-03,-0.464,0.72
2018-01-04,-0.45,0.812
2018-01-05,-0.509,0.673
2018-01-06,-0.554,0.67
2018-01-07,-0.502,0.734
2018-01-08,-0.547,0.691
2018-01-09,-0.484,0.81
2018-01-10,-0.43,0.756
2018-01-11,-0.459,0.685
2018-01-12,-0.441,0.71
2019-01-01,-0.448,0.558
2019-01-02,-0.441,0.575
2019-01-03,-0.533,0.316
2019-01-04,-0.551,0.37
2019-01-05,-0.614,0.211
2019-01-06,-0.684,-0.006
2019-01-07,-0.693,-0.183
2019-01-08,-0.85,-0.409
2019-01-09,-0.695,-0.273
2019-01-10,-0.633,-0.097
2019-01-11,-0.616,-0.049
2019-01-12,-0.609,0.122
2020-01-01,-0.616,-0.183
2020-01-02,-0.676,-0.287
2020-01-03,-0.569,0.001
2020-01-04,-0.596,-0.102
2020-01-05,-0.529,-0.075
2020-01-06,-0.604,-0.116
2020-01-07,-0.629,-0.198
2020-01-08,-0.587,-0.089
2020-01-09,-0.641,-0.242
2020-01-10,-0.708,-0.34
2020-01-11,-0.709,-0.323
2020-01-12,-0.719,-0.341
2021-01-01,-0.693,-0.273
2021-01-02,-0.615,-0.005
2021-01-03,-0.656,-0.048
2021-01-04,-0.639,0.157
2021-01-05,-0.636,0.172
2021-01-06,-0.634,0.131
2021-01-07,-0.715,-0.102
2021-01-08,-0.675,-0.028
2021-01-09,-0.667,0.155
2021-01-10,-0.586,0.275
2021-01-11,-0.724,0.015
2021-01-12,-0.609,0.194
2022-01-01,-0.453,0.427
2022-01-02,-0.447,0.616
2022-01-03,-0.015,0.985
2022-01-04,0.271,1.463
2022-01-05,0.358,1.645
2022-01-06,0.597,1.957
2022-01-07,0.24,1.385
2022-01-08,1.022,2.15
2022-01-09,1.816,2.721
2022-01-10,2.082,2.685
2022-01-11,2.219,2.407
2022-01-12,2.851,3.113
2023-01-01,2.702,2.752
2023-01-02,3.191,3.119
2023-01-03,2.759,2.796
2023-01-04,2.825,2.892
2023-01-05,2.845,2.848
2023-01-06,3.345,2.937
2023-01-07,3.278,3.026
2023-01-08,3.195,2.981
2023-01-09,3.441,3.415
2023-01-10,3.305,3.43
2023-01-11,2.944,3.027
2023-01-12,2.46,2.558
2024-01-01,2.658,2.661
2024-01-02,2.97,2.88
2024-01-03,2.941,2.803
2024-01-04,3.148,3.078
2024-01-05,3.19,3.148
2024-01-06,3.142,3.288
2024-01-07,2.788,3.013
2024-01-08,2.64,3.012
2024-01-09,2.291,2.925
2024-01-10,2.416,3.135
2024-01-11,2.163,2.892
2024-01-12,2.257,3.194
2025-01-01,2.284,3.201
2025-01-02,2.144,3.14
2025-01-03,2.151,3.445
2025-01-04,1.883,3.166
2025-01-05,1.953,3.165
2025-01-06,2.003,3.289
2025-01-07,2.059,3.347
2025-01-08,2.057,3.512
2025-01-09,2.129,3.536
2025-01-10,2.082,3.421
2025-01-11,2.204,3.413
2025-01-12,2.255,3.56
2026-01-01,2.165,3.425
2026-01-02,2.11,3.218
2026-01-03,2.792,3.721
2026-01-04,2.782,3.697
2026-01-05,2.717,3.553
